dataset,model_id,RMSSE_origin_mean,RMSSE_origin_sd,RMSSE_origin_min,RMSSE_origin_max,WAPE_origin_sd,MAE_origin_sd
Store Item,mage_native,0.9274341054214195,0.046895439324385634,0.8986851716329367,0.9815490596547237,0.012582171941475083,0.5626862313262776
Store Item,mage_no_graph,0.8751587597736972,0.020697310282170343,0.8531221261778709,0.8941876157381651,0.003323859327307,0.2150568083578958
Store Item,mage_placebo,0.9274904177860566,0.0467917077418563,0.8987788588392961,0.9814845461217988,0.012559196790402797,0.5612954375546231
Store Item,mixlinear,0.697927957049802,0.00861250860992714,0.688272364680866,0.7048179017642688,0.002066312071092134,0.1098210825192599
Store Item,mtgnn_native,0.9786353838951679,0.2367389526649478,0.7186563135959588,1.181792493582033,0.04833361252177825,3.321153923308671
Store Item,mtgnn_no_graph,1.035231325566704,0.19750466003844722,0.8088817330285027,1.1725408935406552,0.035997630503351384,2.608823477499611
Store Item,mtgnn_placebo,0.8911812467524937,0.25227374530962865,0.7311807894015224,1.1819940291532198,0.055552716959991644,3.6451918059727246
Store Item,nlinear,0.7698634749048973,0.04566414270652652,0.7213200200839557,0.8119639340329474,0.007064397626608261,0.564653743770792
Store Item,patchtst,0.7467650210486249,0.0569306485553932,0.6812724740493543,0.7844248941044861,0.008043840746374573,0.708004841423833
Store Item,seasonal_naive,0.9422227767273249,0.06117669529592704,0.8877201483509353,1.008393053804831,0.009639967382970705,0.6266411887150507
Store Item,tcn_business,0.9066053861013775,0.18246638105589472,0.7748390390157196,1.1148690447796752,0.03402973694888077,2.5291122437206077
Store Item,tcn_no_graph,0.8348860751885455,0.08004339992283581,0.7572473150600619,0.9171348584894295,0.01585847562248898,1.1148025091923899
Store Item,tcn_stat_confidence,0.8592873798066331,0.09271994202700572,0.7866109684046956,0.9637107679542513,0.024011119945143076,1.3216013051539863
Store Item,tcn_stat_equal,0.8741120838688446,0.08251040771039009,0.7793787476870452,0.9302630357913615,0.018543745690555103,1.1098321094984296
Store Item,tcn_stat_placebo,0.8015293427024414,0.0073864571348993295,0.7930007850131187,0.8058803787406247,0.002733999715480408,0.20325537028843438
Store Item,tcn_target_only,1.0257943134467267,0.16618557893481023,0.9157835419161285,1.2169645597904066,0.04239338638581576,2.4675139989318
Store Item,timemixerpp,0.7207436028574006,0.05634208701939852,0.6594245921681354,0.7702290202853511,0.00930047636904414,0.7192233301975204
