task_id,dataset,forecast_origin,seed,model_id,coverage,offdiag_edges,matrix_sha256
v1_0607_m5_20160104_semantic_knn_tcn_s13,M5,2016-01-04,13,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0608_m5_20160104_semantic_knn_tcn_s29,M5,2016-01-04,29,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0609_m5_20160104_semantic_knn_tcn_s47,M5,2016-01-04,47,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0610_m5_20160201_semantic_knn_tcn_s13,M5,2016-02-01,13,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0611_m5_20160201_semantic_knn_tcn_s29,M5,2016-02-01,29,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0612_m5_20160201_semantic_knn_tcn_s47,M5,2016-02-01,47,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0613_favorita_20170301_semantic_knn_tcn_s13,Favorita,2017-03-01,13,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0614_favorita_20170301_semantic_knn_tcn_s29,Favorita,2017-03-01,29,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0615_favorita_20170301_semantic_knn_tcn_s47,Favorita,2017-03-01,47,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0616_favorita_20170329_semantic_knn_tcn_s13,Favorita,2017-03-29,13,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0617_favorita_20170329_semantic_knn_tcn_s29,Favorita,2017-03-29,29,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0618_favorita_20170329_semantic_knn_tcn_s47,Favorita,2017-03-29,47,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0619_favorita_20170426_semantic_knn_tcn_s13,Favorita,2017-04-26,13,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0620_favorita_20170426_semantic_knn_tcn_s29,Favorita,2017-04-26,29,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
v1_0621_favorita_20170426_semantic_knn_tcn_s47,Favorita,2017-04-26,47,semantic_knn_tcn,1.0,450,caa92da9f684fb2f872b5d8e0e55452cfd0aadd850bb597e889b810174730095
