dataset,model_id,seed,RMSSE,WAPE,MAE,origins
M5,gts_no_graph,13,0.6341039054659574,0.8296512942627544,3.0047508931274045,3
M5,gts_no_graph,29,0.6333129960854874,0.7902847650984123,2.900594661084863,3
M5,gts_no_graph,47,0.6220121192210425,0.7548508786704797,2.841805045924908,3
M5,gts_placebo,13,0.6800659812497544,0.8591369265678516,3.2859419818274014,3
M5,gts_placebo,29,0.6468989557428334,0.8360182303796305,3.1875437572156744,3
M5,gts_placebo,47,0.6539930462733318,0.8379481460806106,3.1306475855439664,3
M5,itransformer,13,0.6684945192874441,0.8414492075736625,3.1058065931573906,3
M5,itransformer,29,0.6825237566504687,0.9156325847778751,3.4704643279089833,3
M5,itransformer,47,0.6747801036174924,0.9023274004905867,3.36848681283888,3
M5,mage_native,13,0.6357996995491929,0.835697779821375,2.8799820332202963,3
M5,mage_native,29,0.6413930912646862,0.7707192059987888,2.8863608778980754,3
M5,mage_native,47,0.6378713504330354,0.799198638731102,2.9417060685157694,3
M5,mage_no_graph,13,0.6378025995857054,0.8324053800920644,2.9489233078459027,3
M5,mage_no_graph,29,0.6469027263122946,0.8024681864638014,2.962448495996542,3
M5,mage_no_graph,47,0.6555994502670753,0.870933875559185,3.148060116642187,3
M5,mage_placebo,13,0.6344707265410096,0.8343929252344346,2.873518094062027,3
M5,mage_placebo,29,0.6333843184249032,0.7533962812666039,2.785517190579739,3
M5,mage_placebo,47,0.6380795446027258,0.7985470515590816,2.9430988903363633,3
M5,metadata_embedding_tcn,13,0.6342451759853039,0.7923811120342497,2.9182794794322007,3
M5,metadata_embedding_tcn,29,0.6191025344420505,0.7490850808785173,2.6642869351047374,3
M5,metadata_embedding_tcn,47,0.6214759927019142,0.7720826249594653,2.746712871605441,3
M5,mixlinear,13,0.6668065904773192,0.9003815568256602,3.1897603120319746,3
M5,mixlinear,29,0.6682293908131444,0.902303392586858,3.2116599057993245,3
M5,mixlinear,47,0.6850751666100577,1.0517089402695259,3.6234512497350653,3
M5,mtgnn_native,13,0.6249001542475305,0.8997414544397624,2.9047905821504334,3
M5,mtgnn_native,29,0.6178453619866179,0.8172273183181552,2.854046005737184,3
M5,mtgnn_native,47,0.6193297597399346,0.8688425735668909,2.934224759705478,3
M5,mtgnn_no_graph,13,0.6155016615812602,0.7321990826907374,2.644963227297423,3
M5,mtgnn_no_graph,29,0.613520187895728,0.7862494044470529,2.737151210615627,3
M5,mtgnn_no_graph,47,0.6238797470251843,0.905602365016761,2.9649796983094165,3
M5,mtgnn_placebo,13,0.6279713888696059,0.8165791975972287,2.8105334285122847,3
M5,mtgnn_placebo,29,0.6181954864676662,0.8240144431054284,2.8496697601790806,3
M5,mtgnn_placebo,47,0.6185871172212573,0.860603525125056,2.9109412103515644,3
M5,nlinear,13,0.6951551843223491,0.8511121200182951,3.1563903499434076,3
M5,nlinear,29,0.6784697114266379,0.8329137105347758,3.1133297668917788,3
M5,nlinear,47,0.6799625315850295,0.8364102282950204,3.1128047715438893,3
M5,patchtst,13,0.6373086719866096,0.7913159643780917,2.945452846870536,3
M5,patchtst,29,0.6323218246469631,0.7990779906271767,3.075352550860711,3
M5,patchtst,47,0.6503795648388832,0.8206606228052622,3.0371538169346946,3
M5,seasonal_naive,13,0.7742189866648258,0.9350904179150454,3.1062169674843076,3
M5,semantic_knn_tcn,13,0.6083145122893566,0.7158769164865552,2.5942677864982255,3
M5,semantic_knn_tcn,29,0.6223631381402664,0.7483816959801245,2.653560093981485,3
M5,semantic_knn_tcn,47,0.6346937014847479,0.7446275249633557,2.722875783193324,3
M5,semantic_placebo_tcn,13,0.6288851083226653,0.7415239434165198,2.758124605290316,3
M5,semantic_placebo_tcn,29,0.624022785698783,0.7709819698640579,2.7813533523469847,3
M5,semantic_placebo_tcn,47,0.6426718676817427,0.7982281657200575,2.8816751958102618,3
M5,tcn_business,13,0.6348689076373195,0.7926609367700918,2.8939703165085384,3
M5,tcn_business,29,0.6308415626242595,0.783754021535187,2.8998000094952876,3
M5,tcn_business,47,0.6422954359505894,0.7648864798023198,2.874174717550595,3
M5,tcn_no_graph,13,0.6593620687944344,0.8313915167016663,3.1100725123579935,3
